시설물명,시설물구분,시설물종류,준공일,종별,위치,차기점검진단일,등급,최종점검진단일
올림픽 홀,건축물,다중이용건축물,20030915,2종,서울특별시 송파구 올림픽로,20190531,B등급,20160531
김천시문화예술회관,건축물,다중이용건축물,20000329,2종,경상북도 김천시 운동장길,20180311,B등급,20150311
5.18기념문화관,건축물,다중이용건축물,20010415,2종,광주광역시 서구 쌍촌동,20190324,B등급,20160324
구리농수산물도매시장 수산2동,건축물,다중이용건축물,20030314,2종,경기도 구리시 동구릉로136번길,20181118,C등급,20151118
용인시 실내체육관,건축물,다중이용건축물,20030402,2종,경기도 용인시 경안천로,20180526,B등급,20150526
전라북도 군산의료원,건축물,다중이용건축물,20031114,2종,전라북도 군산시 지곡동 군산의료원,20180626,B등급,20150626
대전문화예술의전당,건축물,다중이용건축물,20030711,2종,대전광역시 서구 만년동,20190619,B등급,20160619
서울특별시보라매병원 진리관(별관),건축물,다중이용건축물,20030610,2종,서울특별시 동작구 보라매로5길,20171013,B등급,20141013
평택항 국제여객터미널,건축물,다중이용건축물,20021111,2종,경기도 평택시 포승읍 평택항만길,20200729,B등급,20170729
근로자종합복지회관,건축물,다중이용건축물,20000710,2종,울산광역시 남구 삼산중로,20190401,B등급,20160401
하남시 종합운동장 및 다목적체육관,건축물,다중이용건축물,20070608,2종,경기도 하남시 아리수로,20200411,B등급,20170411
한국마사회 분당지점,건축물,다중이용건축물,20020328,2종,경기도 성남시 분당구 황새울로311번길,20200630,B등급,20170630
야구장,건축물,다중이용건축물,19840619,2종,제주특별자치도 제주시 오라1동,20190410,B등급,20160410
서울시 서남권 농산물 도매시장 (관리.트럭판매동),건축물,다중이용건축물,20021231,2종,서울특별시 강서구 외발산동,20200529,B등급,20170529
청과물동,건축물,다중이용건축물,20010430,2종,대전광역시 유성구 노은동,20191006,B등급,20161006
대구학생 문화센터,건축물,다중이용건축물,20021102,2종,대구광역시 달서구 용산로,20200507,B등급,20170507
국군대구병원 본관동,건축물,다중이용건축물,19941220,2종,경상북도 경산시 대경로,20200630,B등급,20170630
국군고양병원 본관동,건축물,다중이용건축물,19891230,2종,경기도 고양시 덕양구 혜음로,20180324,B등급,20150324
유니버시아드테니스장,건축물,다중이용건축물,20030605,2종,대구광역시 달서구 두류동,20180930,C등급,20150930
김해시 구산운동장 및 실내체육관(실내체육관동),건축물,다중이용건축물,20040510,2종,경상남도 김해시 구산동,20191208,B등급,20161208
부안예술회관,건축물,다중이용건축물,20010203,2종,전라북도 부안군 부안읍 서외리,20200310,B등급,20170310
정신전력관,건축물,다중이용건축물,19960612,2종,충청남도 계룡시 신도안2길,20191216,B등급,20161216
김해시 구산운동장 및 실내체육관(지하주차장동),건축물,다중이용건축물,20040510,2종,경상남도 김해시 구산동,20190329,B등급,20160329
국군강릉병원 본관동,건축물,다중이용건축물,19941217,2종,강원도 강릉시 주문진읍 동해대로,20200630,B등급,20170630
항공의료원,건축물,다중이용건축물,19910320,2종,충청북도 청원군 남일면 효촌송암1길,20190531,B등급,20160531
광주광역시 서부 농수산물 도매시장 청과물동,건축물,다중이용건축물,20040126,2종,광주광역시 서구 매월2로,20190429,B등급,20160429
서울특별시동부병원,건축물,다중이용건축물,20020531,2종,서울특별시 동대문구 무학로,20200630,B등급,20170630
아양아트센터,건축물,다중이용건축물,20040310,2종,대구광역시 동구 효동로2길,20190624,B등급,20160624
포항의료원 신관동,건축물,다중이용건축물,19930730,2종,경상북도 포항시 북구 용흥로,20200831,C등급,20170831
광주서부농산물 도매시장 채소동,건축물,다중이용건축물,20040105,2종,광주광역시 서구 매월2로,20190429,B등급,20160429
광주서부농수산물 도매시장 수산물동,건축물,다중이용건축물,20040105,2종,광주광역시 서구 매월2로,20190429,B등급,20160429
공군회관,건축물,다중이용건축물,20030315,2종,서울특별시 영등포구 여의대방로,20200719,,
국립민속박물관,건축물,다중이용건축물,19730418,2종,서울특별시 종로구 세종로,20200420,C등급,20170420
해남문화예술회관,건축물,다중이용건축물,20020414,2종,전라남도 해남군 군청길,20190804,B등급,20160804
오산문화예술회관,건축물,다중이용건축물,20031117,2종,경기도 오산시 오산동,20181014,B등급,20151014
대구오페라하우스,건축물,다중이용건축물,20030805,2종,대구광역시 북구 호암로,20180604,B등급,20150604
평택시북부문화예술회관,건축물,다중이용건축물,19901130,2종,경기도 평택시 경기대로,20171225,B등급,20141225
안양시농수산물도매시장 청과동,건축물,다중이용건축물,19970325,2종,경기도 안양시 동안구 흥안대로,20200623,B등급,20170623
박정희체육관,건축물,다중이용건축물,20001229,2종,경상북도 구미시 박정희로,20180324,B등급,20150324
창원종합운동장,건축물,다중이용건축물,19930319,2종,경상남도 창원시 의창구 원이대로,20180524,C등급,20150524
시민회관,건축물,다중이용건축물,19731114,2종,부산광역시 동구 자성로133번길,20171210,B등급,20141210
강원랜드 하이원호텔,건축물,다중이용건축물,20000818,2종,강원도 정선군 고한읍,20190412,C등급,20160412
동해시문화예술회관,건축물,다중이용건축물,19950228,2종,강원도 동해시 천곡동,20191104,B등급,20161104
서울경마공원관람대,건축물,다중이용건축물,19880704,1종,경기도 과천시 경마공원대로,20171106,B등급,20151130
강릉실내빙상경기장,건축물,다중이용건축물,19981215,2종,강원도 강릉시 종합운동장길,20180214,C등급,20150214
구리농수산물도매시장 수산물동,건축물,다중이용건축물,19961214,2종,경기도 구리시 동구릉로136번길,20200123,C등급,20170123
과천시민회관,건축물,다중이용건축물,19950823,2종,경기도 과천시 통영로,20191217,B등급,20161217
예술의전당미술관,건축물,다중이용건축물,19900830,2종,서울특별시 서초구 서초동,20200630,B등급,20170630
예술의전당자료관,건축물,다중이용건축물,19900830,2종,서울특별시 서초구 서초동,20200630,B등급,20170630
부산보훈병원 본관동,건축물,다중이용건축물,19920901,2종,부산광역시 사상구 백양대로,20190520,B등급,20160520
농협창동농산물종합유통센터,건축물,다중이용건축물,19980410,2종,서울특별시 도봉구 마들로11길,20191217,B등급,20161217
경기도의료원 포천병원,건축물,다중이용건축물,19861231,2종,경기도 포천시 포천로,20171206,B등급,20141206
예술의전당1주차장,건축물,다중이용건축물,19871130,2종,서울특별시 서초구 서초동,20200630,B등급,20170630
삼척의료원,건축물,다중이용건축물,19750101,2종,강원도 삼척시 오십천로,20191125,B등급,20161125
광주실내수영장,건축물,다중이용건축물,19930915,2종,광주광역시 서구 금화로,20190412,C등급,20160412
야구장,건축물,다중이용건축물,19970218,2종,경상남도 창원시 마산회원구 삼호로,20180524,B등급,20150524
목포의료원,건축물,다중이용건축물,19810410,2종,전라남도 목포시 이로로,20171126,B등급,20141126
대구의료원,건축물,다중이용건축물,19870122,2종,대구광역시 서구 평리로,20200830,B등급,20170830
대구보훈병원,건축물,다중이용건축물,19941201,2종,대구광역시 달서구 월곡로,20190503,B등급,20160503
올림픽기념관,건축물,다중이용건축물,19920801,2종,경상남도 창원시 마산회원구 삼호로,20200719,B등급,20150524
인천학생교육문화회관,건축물,다중이용건축물,20041011,2종,인천광역시 중구 자유공원로,20190425,B등급,20160425
부천시민회관,건축물,다중이용건축물,19880430,2종,경기도 부천시 원미구 부일로,20200506,B등급,20170506
공무원연금관리공단수안보상록호텔,건축물,다중이용건축물,19890302,2종,충청북도 충주시 수안보면 주정산로,20181220,B등급,20151220
군산시월명체육관,건축물,다중이용건축물,19910920,2종,전라북도 군산시 사정동,20190610,C등급,20160610
하동공설운동장,건축물,다중이용건축물,19920101,2종,경상남도 하동군 적량면 고절리,20180712,B등급,20150712
논산 공설운동장,건축물,다중이용건축물,19970630,2종,충청남도 논산시 취암동,20190418,B등급,20160418
공설운동장,건축물,다중이용건축물,19911008,2종,전라북도 익산시 무왕로,20190630,C등급,20160630
익산시 실내체육관,건축물,다중이용건축물,19971208,2종,전라북도 익산시 무왕로,20190330,C등급,20160330
무주예체문화관,건축물,다중이용건축물,20020801,2종,전라북도 무주군 한풍루로,20200719,B등급,20051230
진주공설운동장,건축물,다중이용건축물,19680530,2종,경상남도 진주시 신안동,20191130,B등급,20161130
영암군 실내체육관,건축물,다중이용건축물,19920916,2종,전라남도 영암군 영암로,20190521,C등급,20160521
계룡스파텔,건축물,다중이용건축물,20010531,2종,대전광역시 유성구 온천로,20181012,B등급,20151012
청간정콘도,건축물,다중이용건축물,19990630,2종,강원도 고성군 토성면,20190601,C등급,20160601
서귀포호텔,건축물,다중이용건축물,19841224,2종,제주특별자치도 서귀포시  상예로,20190601,C등급,20160601
용인시여성회관,건축물,다중이용건축물,20040715,2종,경기도 용인시 문정로7번길,20190331,B등급,20160331
원주의료원,건축물,다중이용건축물,19930701,2종,강원도 원주시 서원대로,20180630,B등급,20150630
강릉의료원,건축물,다중이용건축물,19871120,2종,강원도 강릉시 경강로,20181229,B등급,20151229
근로복지공단 태백병원,건축물,다중이용건축물,19891220,2종,강원도 태백시 장성동,20190621,B등급,20160621
국립중앙의료원 본관동,건축물,다중이용건축물,19830630,2종,서울특별시 중구 을지로,20180807,B등급,20150807
용산중대병원,건축물,다중이용건축물,19780101,2종,서울특별시 용산구 한강로3가,20181220,C등급,20151220
서울특별시보라매병원 희망관(본관),건축물,다중이용건축물,19910930,2종,서울특별시 동작구 보라매로5길,20171013,B등급,20141013
인천광역시의료원,건축물,다중이용건축물,19970808,2종,인천광역시 동구 방축로,20200321,B등급,20170321
경상대학교병원응급센터동,건축물,다중이용건축물,19970215,2종,경상남도 진주시 강남로,20191205,B등급,20161205
광주종합체육관,건축물,다중이용건축물,19871005,2종,광주광역시 서구 화정동,20200608,B등급,20170608
엑스포아트홀,건축물,다중이용건축물,19930530,2종,대전광역시 유성구 도룡동,20191111,B등급,20161111
울산광역시문화예술회관,건축물,다중이용건축물,19950711,2종,울산광역시 남구 번영로,20191223,B등급,20161223
무등경기장 야구장,건축물,다중이용건축물,19650930,2종,광주광역시 북구 서림로,20181130,B등급,20151130
주경기장,건축물,다중이용건축물,19840619,2종,제주특별자치도 제주시 오라1동,20190404,C등급,20160404
양산문화예술회관,건축물,다중이용건축물,20021231,2종,경상남도 양산시 중앙로,20200229,B등급,20170228
주 경기장,건축물,다중이용건축물,20020430,1종,경기도 의정부시 녹양동,20180425,B등급,20160421
보조경기장,건축물,다중이용건축물,20011130,2종,경기도 성남시 분당구 탄천로,20200516,B등급,20170516
국군일동병원 본관동,건축물,다중이용건축물,19900721,2종,경기도 포천시 화현면 화동로,20180324,C등급,20150324
이충문화체육센타,건축물,다중이용건축물,20031010,2종,경기도 평택시 장안웃길,20200421,B등급,20170421
목포시민문화체육센터,건축물,다중이용건축물,20030514,2종,전라남도 목포시 부주로,20190910,B등급,20160910
